Sales,Date,Region
1638.0,06-02-2018,north
1647.0,06-02-2018,south
1731.0,06-02-2018,east
1557.0,06-02-2018,west
1587.0,07-02-2018,north
1698.0,07-02-2018,south
1542.0,07-02-2018,east
1635.0,07-02-2018,west
1602.0,08-02-2018,north
1536.0,08-02-2018,south
1503.0,08-02-2018,east
1701.0,08-02-2018,west
1758.0,09-02-2018,north
1662.0,09-02-2018,south
1782.0,09-02-2018,east
1515.0,09-02-2018,west
1662.0,10-02-2018,north
1557.0,10-02-2018,south
1650.0,10-02-2018,east
1674.0,10-02-2018,west
1554.0,11-02-2018,north
1587.0,11-02-2018,south
1563.0,11-02-2018,east
1764.0,11-02-2018,west
1758.0,12-02-2018,north
1608.0,12-02-2018,south
1569.0,12-02-2018,east
1653.0,12-02-2018,west
1572.0,13-02-2018,north
1716.0,13-02-2018,south
1773.0,13-02-2018,east
1725.0,13-02-2018,west
1767.0,14-02-2018,north
1710.0,14-02-2018,south
1698.0,14-02-2018,east
1512.0,14-02-2018,west
1746.0,15-02-2018,north
1734.0,15-02-2018,south
1524.0,15-02-2018,east
1614.0,15-02-2018,west
1578.0,16-02-2018,north
1782.0,16-02-2018,south
1527.0,16-02-2018,east
1752.0,16-02-2018,west
1785.0,17-02-2018,north
1689.0,17-02-2018,south
1641.0,17-02-2018,east
1575.0,17-02-2018,west
1644.0,18-02-2018,north
1674.0,18-02-2018,south
1551.0,18-02-2018,east
1737.0,18-02-2018,west
1563.0,19-02-2018,north
1647.0,19-02-2018,south
1605.0,19-02-2018,east
1539.0,19-02-2018,west
1698.0,20-02-2018,north
1575.0,20-02-2018,south
1500.0,20-02-2018,east
1551.0,20-02-2018,west
1737.0,21-02-2018,north
1542.0,21-02-2018,south
1665.0,21-02-2018,east
1548.0,21-02-2018,west
1635.0,22-02-2018,north
1632.0,22-02-2018,south
1668.0,22-02-2018,east
1764.0,22-02-2018,west
1533.0,23-02-2018,north
1563.0,23-02-2018,south
1641.0,23-02-2018,east
1773.0,23-02-2018,west
1629.0,24-02-2018,north
1698.0,24-02-2018,south
1725.0,24-02-2018,east
1722.0,24-02-2018,west
1596.0,25-02-2018,north
1710.0,25-02-2018,south
1635.0,25-02-2018,east
1659.0,25-02-2018,west
1686.0,26-02-2018,north
1533.0,26-02-2018,south
1524.0,26-02-2018,east
1530.0,26-02-2018,west
1665.0,27-02-2018,north
1695.0,27-02-2018,south
1578.0,27-02-2018,east
1620.0,27-02-2018,west
1767.0,28-02-2018,north
1593.0,28-02-2018,south
1743.0,28-02-2018,east
1557.0,28-02-2018,west
1668.0,01-03-2018,north
1782.0,01-03-2018,south
1527.0,01-03-2018,east
1668.0,01-03-2018,west
1635.0,02-03-2018,north
1569.0,02-03-2018,south
1746.0,02-03-2018,east
1773.0,02-03-2018,west
1539.0,03-03-2018,north
1500.0,03-03-2018,south
1569.0,03-03-2018,east
1557.0,03-03-2018,west
1773.0,04-03-2018,north
1644.0,04-03-2018,south
1614.0,04-03-2018,east
1674.0,04-03-2018,west
1533.0,05-03-2018,north
1653.0,05-03-2018,south
1557.0,05-03-2018,east
1746.0,05-03-2018,west
1719.0,06-03-2018,north
1719.0,06-03-2018,south
1659.0,06-03-2018,east
1800.0,06-03-2018,west
1581.0,07-03-2018,north
1602.0,07-03-2018,south
1608.0,07-03-2018,east
1650.0,07-03-2018,west
1611.0,08-03-2018,north
1530.0,08-03-2018,south
1698.0,08-03-2018,east
1668.0,08-03-2018,west
1746.0,09-03-2018,north
1524.0,09-03-2018,south
1506.0,09-03-2018,east
1704.0,09-03-2018,west
1788.0,10-03-2018,north
1719.0,10-03-2018,south
1746.0,10-03-2018,east
1584.0,10-03-2018,west
1692.0,11-03-2018,north
1635.0,11-03-2018,south
1608.0,11-03-2018,east
1590.0,11-03-2018,west
1599.0,12-03-2018,north
1518.0,12-03-2018,south
1602.0,12-03-2018,east
1659.0,12-03-2018,west
1644.0,13-03-2018,north
1611.0,13-03-2018,south
1554.0,13-03-2018,east
1515.0,13-03-2018,west
1515.0,14-03-2018,north
1632.0,14-03-2018,south
1512.0,14-03-2018,east
1776.0,14-03-2018,west
1677.0,15-03-2018,north
1503.0,15-03-2018,south
1605.0,15-03-2018,east
1647.0,15-03-2018,west
1506.0,16-03-2018,north
1737.0,16-03-2018,south
1590.0,16-03-2018,east
1767.0,16-03-2018,west
1593.0,17-03-2018,north
1614.0,17-03-2018,south
1710.0,17-03-2018,east
1662.0,17-03-2018,west
1650.0,18-03-2018,north
1755.0,18-03-2018,south
1698.0,18-03-2018,east
1659.0,18-03-2018,west
1683.0,19-03-2018,north
1509.0,19-03-2018,south
1500.0,19-03-2018,east
1545.0,19-03-2018,west
1647.0,20-03-2018,north
1614.0,20-03-2018,south
1629.0,20-03-2018,east
1677.0,20-03-2018,west
1743.0,21-03-2018,north
1569.0,21-03-2018,south
1593.0,21-03-2018,east
1578.0,21-03-2018,west
1578.0,22-03-2018,north
1581.0,22-03-2018,south
1653.0,22-03-2018,east
1578.0,22-03-2018,west
1761.0,23-03-2018,north
1611.0,23-03-2018,south
1749.0,23-03-2018,east
1764.0,23-03-2018,west
1716.0,24-03-2018,north
1710.0,24-03-2018,south
1800.0,24-03-2018,east
1728.0,24-03-2018,west
1743.0,25-03-2018,north
1764.0,25-03-2018,south
1740.0,25-03-2018,east
1707.0,25-03-2018,west
1509.0,26-03-2018,north
1641.0,26-03-2018,south
1533.0,26-03-2018,east
1752.0,26-03-2018,west
1767.0,27-03-2018,north
